,altitude,availableBikes,availableDocks,city,id,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,statusKey,statusValue,testStation,totalDocks
68,,0,12,,275,,2016-01-26 06:17:18 PM,40.68650065,,-73.96563307,,Washington Ave & Greene Ave,,Washington Ave & Greene Ave,3,Not In Service,False,19
69,,0,6,,276,,2016-01-26 06:15:56 PM,40.71748752,,-74.0104554,,Duane St & Greenwich St,,Duane St & Greenwich St,3,Not In Service,False,25
70,,0,9,,278,,2016-01-26 06:15:56 PM,40.69766564,,-73.98476437,,Concord St & Bridge St,,Concord St & Bridge St,3,Not In Service,False,19
71,,0,21,,279,,2016-01-26 06:16:20 PM,40.707873,,-74.00167,,Peck Slip & Front St,,Peck Slip & Front St,3,Not In Service,False,36
72,,0,19,,280,,2016-01-26 06:17:28 PM,40.73331967,,-73.99510132,,E 10 St & 5 Ave,,E 10 St & 5 Ave,3,Not In Service,False,31
73,,0,59,,281,,2016-01-26 06:15:28 PM,40.7643971,,-73.97371465,,Grand Army Plaza & Central Park S,,Grand Army Plaza & Central Park S,3,Not In Service,False,59
74,,0,16,,282,,2016-01-26 06:18:29 PM,40.70827295,,-73.96834101,,Kent Ave & S 11 St,,Kent Ave & S 11 St,3,Not In Service,False,27
75,,0,42,,284,,2016-01-26 06:17:14 PM,40.7390169121,,-74.0026376103,,Greenwich Ave & 8 Ave,,Greenwich Ave & 8 Ave,3,Not In Service,False,43
76,,0,38,,285,,2016-01-26 06:17:31 PM,40.73454567,,-73.99074142,,Broadway & E 14 St,,Broadway & E 14 St,3,Not In Service,False,47
77,,0,6,,289,,2016-01-26 06:18:32 PM,40.6845683,,-73.95881081,,Monroe St & Classon Ave,,Monroe St & Classon Ave,3,Not In Service,False,19
78,,0,20,,291,,2016-01-26 06:15:47 PM,40.713126,,-73.984844,,Madison St & Montgomery St,,Madison St & Montgomery St,3,Not In Service,False,20
79,,0,52,,293,,2016-01-26 06:18:05 PM,40.73028666,,-73.9907647,,Lafayette St & E 8 St,,Lafayette St & E 8 St,3,Not In Service,False,55
80,,0,19,,295,,2016-01-26 06:15:13 PM,40.71406667,,-73.99293911,,Pike St & E Broadway,,Pike St & E Broadway,3,Not In Service,False,24
81,,0,10,,296,,2016-01-26 06:15:01 PM,40.71413089,,-73.9970468,,Division St & Bowery,,Division St & Bowery,3,Not In Service,False,35
82,,0,24,,297,,2016-01-26 06:17:23 PM,40.734232,,-73.986923,,E 15 St & 3 Ave,,E 15 St & 3 Ave,3,Not In Service,False,27
83,,0,17,,298,,2016-01-26 06:16:45 PM,40.68683208,,-73.9796772,,3 Ave & Schermerhorn St,,3 Ave & Schermerhorn St,3,Not In Service,False,35
84,,0,38,,300,,2016-01-26 06:17:38 PM,40.728145,,-73.990214,,Shevchenko Pl & E 7 St,,Shevchenko Pl & E 7 St,3,Not In Service,False,55
85,,0,33,,301,,2016-01-26 06:16:17 PM,40.72217444,,-73.98368779,,E 2 St & Avenue B,,E 2 St & Avenue B,3,Not In Service,False,37
86,,0,13,,302,,2016-01-26 06:17:56 PM,40.72082834,,-73.97793172,,Avenue D & E 3 St,,Avenue D & E 3 St,3,Not In Service,False,23
87,,0,29,,303,,2016-01-26 06:15:27 PM,40.72362738,,-73.99949601,,Mercer St & Spring St,,Mercer St & Spring St,3,Not In Service,False,31
88,,0,23,,304,,2016-01-26 06:16:20 PM,40.70463334,,-74.01361706,,Broadway & Battery Pl,,Broadway & Battery Pl,3,Not In Service,False,36
89,,0,30,,305,,2016-01-26 06:17:57 PM,40.76095756,,-73.96724467,,E 58 St & 3 Ave,,E 58 St & 3 Ave,3,Not In Service,False,33
90,,0,14,,306,,2016-01-26 06:16:27 PM,40.70823502,,-74.00530063,,Cliff St & Fulton St,,Cliff St & Fulton St,3,Not In Service,False,37
91,,0,20,,307,,2016-01-26 06:17:22 PM,40.71427487,,-73.98990025,,Canal St & Rutgers St,,Canal St & Rutgers St,3,Not In Service,False,29
92,,0,14,,308,,2016-01-26 06:18:31 PM,40.71307916,,-73.99851193,,St James Pl & Oliver St,,St James Pl & Oliver St,3,Not In Service,False,27
93,,0,25,,309,,2016-01-26 06:16:00 PM,40.7149787,,-74.013012,,Murray St & West St,,Murray St & West St,3,Not In Service,False,41
94,,0,13,,310,,2016-01-26 06:15:20 PM,40.68926942,,-73.98912867,,State St & Smith St,,State St & Smith St,3,Not In Service,False,36
95,,0,25,,311,,2016-01-26 06:17:39 PM,40.7172274,,-73.98802084,,Norfolk St & Broome St,,Norfolk St & Broome St,3,Not In Service,False,31
96,,0,28,,312,,2016-01-26 06:16:48 PM,40.722055,,-73.989111,,Allen St & E Houston St,,Allen St & E Houston St,3,Not In Service,False,31
97,,0,3,,313,,2016-01-26 06:14:43 PM,40.69610226,,-73.96751037,,Washington Ave & Park Ave,,Washington Ave & Park Ave,3,Not In Service,False,23
98,,0,17,,314,,2016-01-26 06:15:16 PM,40.69383,,-73.990539,,Cadman Plaza West & Montague St,,Cadman Plaza West & Montague St,3,Not In Service,False,39
99,,0,2,,315,,2016-01-26 06:17:55 PM,40.70355377,,-74.00670227,,South St & Gouverneur Ln,,South St & Gouverneur Ln,3,Not In Service,False,29
100,,0,40,,316,,2016-01-26 06:16:29 PM,40.70955958,,-74.00653609,,Fulton St & William St,,Fulton St & William St,3,Not In Service,False,43
101,,0,25,,317,,2016-01-26 06:15:02 PM,40.72453734,,-73.98185424,,E 6 St & Avenue B,,E 6 St & Avenue B,3,Not In Service,False,27
102,,0,20,,319,,2016-01-26 06:17:15 PM,40.711066,,-74.009447,,Fulton St & Broadway,,Fulton St & Broadway,3,Not In Service,False,33
103,,0,5,,320,,2016-01-26 06:15:52 PM,40.717571,,-74.005549,,Leonard St & Church St,,Leonard St & Church St,3,Not In Service,False,39
104,,0,17,,321,,2016-01-26 06:17:29 PM,40.69991755,,-73.98971773,,Cadman Plaza E & Red Cross Pl,,Cadman Plaza E & Red Cross Pl,3,Not In Service,False,27
105,,0,21,,322,,2016-01-26 06:15:57 PM,40.696192,,-73.991218,,Clinton St & Tillary St,,Clinton St & Tillary St,3,Not In Service,False,31
106,,0,11,,323,,2016-01-26 06:18:21 PM,40.69236178,,-73.98631746,,Lawrence St & Willoughby St,,Lawrence St & Willoughby St,3,Not In Service,False,39
107,,0,23,,324,,2016-01-26 06:15:09 PM,40.689888,,-73.981013,,DeKalb Ave & Hudson Ave,,DeKalb Ave & Hudson Ave,3,Not In Service,False,51
108,,0,25,,325,,2016-01-26 06:18:19 PM,40.73624527,,-73.98473765,,E 19 St & 3 Ave,,E 19 St & 3 Ave,3,Not In Service,False,35
109,,0,25,,326,,2016-01-26 06:15:48 PM,40.72953837,,-73.98426726,,E 11 St & 1 Ave,,E 11 St & 1 Ave,3,Not In Service,False,27
110,,0,24,,327,,2016-01-26 06:16:37 PM,40.7153379,,-74.01658354,,Vesey Pl & River Terrace,,Vesey Pl & River Terrace,3,Not In Service,False,39
111,,0,19,,328,,2016-01-26 06:17:14 PM,40.72405549,,-74.00965965,,Watts St & Greenwich St,,Watts St & Greenwich St,3,Not In Service,False,23
112,,0,30,,329,,2016-01-26 06:16:38 PM,40.72043411,,-74.01020609,,Greenwich St & N Moore St,,Greenwich St & N Moore St,3,Not In Service,False,31
113,,0,29,,330,,2016-01-26 06:17:17 PM,40.71450451,,-74.00562789,,Reade St & Broadway,,Reade St & Broadway,3,Not In Service,False,39
114,,0,24,,331,,2016-01-26 06:16:04 PM,40.71173107,,-73.99193043,,Pike St & Monroe St,,Pike St & Monroe St,3,Not In Service,False,27
115,,0,9,,332,,2016-01-26 06:17:45 PM,40.71219906,,-73.97948148,,Cherry St,,Cherry St,3,Not In Service,False,24
116,,0,6,,334,,2016-01-26 06:17:14 PM,40.74238787,,-73.99726235,,W 20 St & 7 Ave,,W 20 St & 7 Ave,3,Not In Service,False,31
117,,0,25,,335,,2016-01-26 06:16:49 PM,40.72903917,,-73.99404649,,Washington Pl & Broadway,,Washington Pl & Broadway,3,Not In Service,False,27
118,,0,20,,336,,2016-01-26 06:17:53 PM,40.73047747,,-73.99906065,,Sullivan St & Washington Sq,,Sullivan St & Washington Sq,3,Not In Service,False,36
119,,0,36,,337,,2016-01-26 06:18:07 PM,40.7037992,,-74.00838676,,Old Slip & Front St,,Old Slip & Front St,3,Not In Service,False,37
120,,0,1,,339,,2016-01-26 06:18:02 PM,40.72580614,,-73.97422494,,Avenue D & E 12 St,,Avenue D & E 12 St,3,Not In Service,False,24
121,,0,22,,340,,2016-01-26 06:15:02 PM,40.71269042,,-73.98776323,,Madison St & Clinton St,,Madison St & Clinton St,3,Not In Service,False,27
122,,0,13,,341,,2016-01-26 06:14:39 PM,40.71782143,,-73.97628939,,Stanton St & Mangin St,,Stanton St & Mangin St,3,Not In Service,False,19
123,,0,10,,342,,2016-01-26 06:17:26 PM,40.71739973,,-73.98016555,,Columbia St & Rivington St,,Columbia St & Rivington St,3,Not In Service,False,29
124,,0,0,,343,,2016-01-26 06:18:04 PM,40.69794,,-73.96986848,,Clinton Ave & Flushing Ave,,Clinton Ave & Flushing Ave,3,Not In Service,False,23
125,,0,13,,344,,2016-01-26 06:16:23 PM,40.6851443,,-73.95380904,,Monroe St & Bedford Ave,,Monroe St & Bedford Ave,3,Not In Service,False,23
126,,0,1,,345,,2016-01-26 06:16:03 PM,40.73649403,,-73.99704374,,W 13 St & 6 Ave,,W 13 St & 6 Ave,3,Not In Service,False,35
127,,0,5,,346,,2016-01-26 06:14:44 PM,40.73652889,,-74.00618026,,Bank St & Hudson St,,Bank St & Hudson St,3,Not In Service,False,27
128,,0,32,,347,,2016-01-26 06:15:42 PM,40.728846,,-74.008591,,Greenwich St & W Houston St,,Greenwich St & W Houston St,3,Not In Service,False,35
129,,0,41,,348,,2016-01-26 06:14:57 PM,40.72490985,,-74.00154702,,W Broadway & Spring St,,W Broadway & Spring St,3,Not In Service,False,42
130,,0,20,,350,,2016-01-26 06:16:03 PM,40.71559509,,-73.9870295,,Clinton St & Grand St,,Clinton St & Grand St,3,Not In Service,False,28
131,,0,30,,351,,2016-01-26 06:15:37 PM,40.70530954,,-74.00612572,,Front St & Maiden Ln,,Front St & Maiden Ln,3,Not In Service,False,39
