,0
2014-06-03,1.02297870839
2014-06-04,1.02006080509
2014-06-05,0.966922143097
2014-06-06,1.00283433699
2014-06-07,0.921739729604
2014-06-08,1.22534777605
2014-06-09,1.05490044118
2014-06-10,0.970439016421
2014-06-11,1.00591512366
2014-06-12,0.932020933666
2014-06-13,1.00456187246
2014-06-14,0.928067462302
2014-06-15,0.959609704138
2014-06-16,1.03451982987
2014-06-17,0.939533315261
2014-06-18,0.989411828665
2014-06-19,0.981199910592
2014-06-20,0.994196659673
2014-06-21,0.761437167934
2014-06-22,1.13184734334
2014-06-23,0.968486649243
2014-06-24,1.03070513368
2014-06-25,0.962692208193
2014-06-26,1.02641284099
2014-06-27,0.982103911424
2014-06-28,1.04407589509
2014-06-29,1.01866260901
2014-06-30,1.01740011638
2014-07-01,0.908284636198
2014-07-02,0.949773252527
2014-07-03,0.790013252145
2014-07-04,0.327848309604
2014-07-05,0.782148917397
2014-07-06,0.871810517324
2014-07-07,0.95755071147
2014-07-08,0.900784350184
2014-07-09,1.02758600093
2014-07-10,0.942471949927
2014-07-11,0.902211716454
2014-07-12,0.91114206346
2014-07-13,0.97451696183
2014-07-14,0.965464353713
2014-07-15,0.975037181715
2014-07-16,1.00012267796
2014-07-17,1.00022145666
2014-07-18,0.972644601382
2014-07-19,0.868144348106
2014-07-20,0.960185830039
2014-07-21,0.968629810611
2014-07-22,0.994537925349
2014-07-23,1.04208053249
2014-07-24,1.00022145666
2014-07-25,1.0095380173
2014-07-26,1.01351757621
2014-07-27,1.06528079651
2014-07-28,1.02323394209
2014-07-29,1.0260391266
2014-07-30,1.03063748126
2014-07-31,0.97019171316
2014-08-01,0.952421336739
2014-08-02,0.774575662903
2014-08-03,0.852214463623
2014-08-04,0.904310806928
2014-08-05,0.962652067209
2014-08-06,0.935136302016
2014-08-07,0.945373559893
2014-08-08,0.958978454375
2014-08-09,0.752559300392
2014-08-10,1.01798768805
2014-08-11,0.954593272669
2014-08-12,1.01177444992
2014-08-13,0.929916242914
2014-08-14,0.941610130116
2014-08-15,0.966355211717
2014-08-16,0.850632187943
2014-08-17,0.938603327059
2014-08-18,0.987857057697
2014-08-19,0.937724290907
2014-08-20,0.989574061224
2014-08-21,1.0176314116
2014-08-22,1.01225503517
2014-08-23,0.970721438005
2014-08-24,0.805517780685
2014-08-25,1.06057323892
2014-08-26,1.10928604546
2014-08-27,1.10292391601
2014-08-28,1.00859918014
2014-08-29,1.02618891015
2014-08-30,0.962715488001
2014-08-31,1.10437655149
2014-09-01,0.32616356282
2014-09-02,1.10798487337
2014-09-03,1.19957913164
2014-09-04,1.19784458027
2014-09-05,1.18794935941
2014-09-06,0.997531349896
2014-09-07,0.898834487712
2014-09-08,1.15663980837
2014-09-09,1.14410568425
2014-09-10,1.15429587383
2014-09-11,1.19094554741
2014-09-12,1.22833024672
2014-09-13,1.27500558745
2014-09-14,1.16366964927
2014-09-15,1.34365206857
2014-09-16,1.20794711744
2014-09-17,1.22093915892
2014-09-18,1.02278162145
2014-09-19,1.16916755135
2014-09-20,0.97918594576
2014-09-21,0.837307126946
2014-09-22,1.19918288178
2014-09-23,1.14410568425
2014-09-24,1.11157581928
2014-09-25,1.01502020949
2014-09-26,1.16635028015
2014-09-27,1.06403343989
2014-09-28,1.00583859339
2014-09-29,1.18322922925
2014-09-30,1.0953845905
2014-10-01,1.06989399867
2014-10-02,1.12562228765
2014-10-03,1.00795134751
2014-10-04,0.861670885364
