2014-07-18,23,1,6,1,5,1,1,6,4,2,2,2,6,1,0,1,0,0,0,0,3,12,5,1,5,4,8,3,3,1,6,2,23,17,20,23,10,21,13,15,33,29,28,53,27,27,9,12,46,51,23,16,31,34,20,32,27,54,83,23,22,31,56,29,21,54,3,20,0,9
2014-07-19,3,1,0,0,1,1,0,1,0,0,0,2,2,1,1,2,0,2,0,0,1,7,5,1,0,2,0,0,3,3,0,0,19,7,7,8,9,10,14,7,42,4,22,4,9,10,5,6,40,10,10,7,4,4,8,9,14,9,4,11,7,13,8,14,12,12,0,6,0,0
2014-07-20,3,0,1,0,4,1,3,6,0,0,0,3,1,2,0,0,0,0,0,0,1,5,0,0,0,7,3,3,9,7,0,2,18,5,2,2,9,8,6,6,41,4,13,4,4,3,12,3,38,6,3,4,12,7,10,9,9,10,6,19,11,8,7,7,15,10,0,2,2,6
2014-07-21,22,3,6,5,11,5,3,6,4,1,2,0,4,7,0,1,1,2,0,0,11,21,6,2,7,8,2,3,4,5,2,2,32,17,15,21,10,11,12,18,51,29,22,49,33,23,12,11,45,43,31,24,22,36,16,45,23,54,102,16,22,34,48,24,41,43,2,21,3,7
2014-07-22,19,3,10,3,4,2,1,1,5,2,5,2,2,4,0,1,0,0,0,0,9,12,6,5,5,3,0,5,3,2,3,2,40,20,26,23,14,24,24,17,59,30,28,55,38,18,11,14,44,47,34,34,40,48,15,42,24,58,115,26,24,26,54,25,35,45,2,22,1,5
2014-07-23,20,2,7,4,6,10,4,2,6,3,1,6,3,5,0,3,1,0,1,0,7,15,6,6,6,4,1,6,2,1,4,1,40,27,27,23,11,22,12,21,50,31,27,52,36,22,6,17,56,49,42,24,30,40,27,56,22,51,109,28,32,30,65,23,47,38,3,17,1,9
2014-07-24,15,2,9,1,3,6,4,5,5,0,0,2,2,3,0,2,2,0,0,2,3,17,5,5,8,5,1,1,6,0,3,1,36,18,24,28,9,21,16,16,45,21,32,54,30,23,7,17,32,56,44,17,33,48,25,53,23,57,115,22,27,30,48,30,33,59,2,24,0,6
2014-07-25,20,2,5,3,7,1,3,1,3,5,1,3,3,8,0,1,1,1,0,0,3,10,5,1,4,7,1,2,5,3,2,1,26,22,24,19,10,17,14,21,53,24,15,47,30,26,13,15,46,50,39,16,35,40,17,49,23,58,93,21,19,26,41,26,39,46,2,22,2,6
2014-07-26,1,2,5,0,8,4,4,2,0,1,1,0,4,4,0,0,0,0,0,0,2,4,0,0,0,0,1,4,3,0,1,1,20,8,10,6,6,4,9,7,39,9,17,1,7,6,13,2,44,15,4,5,8,14,11,10,16,27,15,18,12,20,19,9,13,12,0,4,0,3
2014-07-27,2,2,5,0,3,1,2,2,0,1,3,0,0,1,0,2,0,0,1,0,3,3,0,1,1,0,0,2,8,1,0,2,20,6,7,2,2,4,6,9,30,11,14,9,9,6,6,3,20,29,8,8,10,14,12,18,19,17,16,11,15,8,11,3,18,11,0,5,1,2
